Frame	Time	R_HLE X	R_HLE Y	R_HLE Z	R_HEAD X	R_HEAD Y	R_HEAD Z	RIAS X	RIAS Y	RIAS Z	RIPS X	RIPS Y	RIPS Z	LIPS X	LIPS Y	LIPS Z	L_FM2 X	L_FM2 Y	L_FM2 Z	SJN X	SJN Y	SJN Z	L_FLE X	L_FLE Y	L_FLE Z	R_FLE X	R_FLE Y	R_FLE Z	L_FCC X	L_FCC Y	L_FCC Z	L_HEAD X	L_HEAD Y	L_HEAD Z	L_FAL X	L_FAL Y	L_FAL Z	R_HM2 X	R_HM2 Y	R_HM2 Z	SGL X	SGL Y	SGL Z	R_FCC X	R_FCC Y	R_FCC Z	R_FAL X	R_FAL Y	R_FAL Z	LIAS X	LIAS Y	LIAS Z	L_HM2 X	L_HM2 Y	L_HM2 Z	L_HLE X	L_HLE Y	L_HLE Z	SXS X	SXS Y	SXS Z	R_FM2 X	R_FM2 Y	R_FM2 Z	
926	2.31250	2181.238	623.373	1155.707	2104.684	369.146	1548.868	2066.160	412.000	938.682	2204.732	379.205	1014.901	2216.417	205.674	1000.272	1706.931	215.589	165.642	2005.587	267.345	1279.591	1995.401	146.607	479.267	2261.261	406.533	460.265	1868.159	264.836	100.786	2132.720	182.176	1549.257	1817.597	207.797	132.792	1989.935	483.624	1044.674	1984.261	264.640	1607.840	2653.479	347.754	421.932	2654.028	400.105	376.201	2059.137	166.976	946.766	2390.164	40.509	947.697	2388.549	32.707	1251.851	1978.013	259.371	1138.935	2670.973	375.395	220.373
927	2.31500	2170.493	623.393	1156.177	2092.985	368.576	1548.677	2054.997	412.635	938.467	2193.520	379.366	1014.537	2205.318	205.935	999.515	1694.506	217.018	166.407	1994.241	267.275	1279.194	1985.474	147.556	477.843	2247.224	407.352	459.291	1855.836	265.486	100.705	2121.247	181.668	1548.943	1805.545	208.288	133.215	1980.387	485.013	1041.435	1972.826	264.119	1607.334	2639.813	347.706	427.747	2641.303	400.318	382.575	2048.054	167.432	946.233	2377.683	40.216	946.106	2377.113	32.903	1250.516	1966.828	259.468	1138.504	2661.423	376.699	227.038
928	2.31750	2160.045	623.521	1156.542	2081.591	368.140	1548.187	2043.926	413.070	938.196	2182.257	379.444	1014.097	2194.239	206.170	998.707	1682.776	218.390	166.874	1982.948	267.128	1278.741	1975.258	148.400	476.507	2233.565	408.436	458.073	1843.837	265.862	100.449	2109.672	181.237	1548.569	1793.395	209.170	133.471	1970.594	486.277	1038.205	1961.284	263.622	1606.830	2626.240	347.456	433.511	2628.617	400.605	388.658	2037.186	167.888	945.615	2365.005	39.854	944.657	2365.669	32.956	1248.951	1955.578	259.677	1137.922	2650.946	378.589	233.407
929	2.32000	2149.409	623.542	1156.748	2070.015	367.666	1547.912	2032.856	413.556	937.831	2171.026	379.614	1013.537	2183.190	206.416	997.901	1671.275	220.087	167.238	1971.514	267.090	1278.128	1964.925	149.184	475.429	2219.873	409.464	456.815	1832.424	266.370	100.038	2098.248	180.830	1548.107	1781.657	210.124	133.424	1960.670	488.124	1034.531	1949.729	263.173	1606.227	2612.398	347.273	439.072	2615.557	400.751	394.682	2026.285	168.325	945.076	2352.264	39.406	942.962	2354.027	32.998	1247.387	1944.406	259.841	1137.387	2640.384	380.183	239.620
930	2.32250	2138.732	623.561	1156.905	2058.533	367.277	1547.423	2021.842	414.045	937.576	2159.782	379.749	1013.059	2172.105	206.646	997.056	1660.168	221.975	167.203	1960.180	267.022	1277.553	1954.344	149.886	474.418	2206.042	410.575	455.661	1821.377	266.729	99.461	2086.703	180.382	1547.605	1770.388	211.128	133.383	1951.342	489.701	1030.918	1938.102	262.654	1605.723	2598.401	347.227	444.314	2602.444	400.824	400.400	2015.399	168.624	944.244	2339.608	39.146	941.068	2342.426	32.936	1245.567	1933.364	260.032	1136.913	2629.428	381.822	245.609
931	2.32500	2128.054	623.475	1157.043	2047.084	366.836	1546.912	2010.712	414.363	937.191	2148.672	379.962	1012.596	2161.126	206.863	996.224	1649.261	223.810	166.914	1948.998	267.104	1276.933	1943.646	150.587	473.674	2192.337	411.724	454.373	1810.699	267.063	98.717	2075.211	179.949	1547.137	1759.434	212.042	132.815	1941.878	491.216	1027.057	1926.716	262.272	1605.172	2584.219	347.045	449.413	2588.863	400.981	405.999	2004.675	168.956	943.428	2326.819	38.421	939.104	2330.761	32.856	1243.823	1922.179	260.191	1136.250	2618.194	383.285	251.561
932	2.32750	2117.306	623.403	1156.983	2035.662	366.485	1546.444	1999.502	414.697	936.566	2137.455	380.200	1012.140	2150.192	207.180	995.357	1638.733	225.919	166.290	1937.568	266.956	1276.095	1932.776	151.259	472.965	2178.191	412.795	453.114	1800.474	267.501	97.736	2063.599	179.515	1546.470	1748.787	213.076	132.256	1932.347	492.677	1023.393	1914.952	261.655	1604.468	2569.494	347.298	454.430	2575.410	401.115	411.281	1993.904	169.315	942.709	2313.801	37.793	937.002	2319.124	32.795	1241.776	1911.070	260.333	1135.498	2606.750	384.500	257.262
933	2.33000	2106.556	623.258	1156.897	2024.115	366.036	1545.986	1988.183	415.003	935.999	2126.340	380.464	1011.599	2139.198	207.432	994.487	1628.567	227.901	165.453	1926.208	266.906	1275.252	1921.884	151.818	472.448	2164.289	414.084	451.731	1790.519	268.001	96.679	2052.125	179.128	1545.869	1738.430	214.191	131.397	1922.935	494.118	1019.601	1903.320	261.226	1603.839	2554.881	347.217	459.064	2561.479	401.214	416.466	1983.241	169.477	941.757	2300.760	37.028	934.710	2307.461	32.692	1239.728	1900.000	260.578	1134.651	2594.788	385.791	262.697
934	2.33250	2095.827	623.132	1156.722	2012.763	365.739	1545.316	1976.864	415.187	935.420	2114.853	380.498	1010.127	2128.218	207.702	993.612	1618.716	230.302	164.135	1914.871	266.851	1274.391	1910.940	152.306	471.893	2150.319	415.251	450.393	1781.136	268.627	95.406	2040.521	178.759	1545.196	1728.574	215.338	130.351	1913.783	495.665	1015.481	1891.681	260.797	1603.003	2540.127	347.049	463.754	2547.526	401.278	421.366	1972.560	169.776	941.005	2287.642	36.212	932.469	2295.743	32.492	1237.447	1889.052	260.817	1133.625	2582.691	386.931	268.058
935	2.33500	2085.206	623.079	1156.443	2001.268	365.375	1544.670	1965.810	415.576	934.712	2103.599	380.785	1009.258	2117.329	208.034	992.656	1609.319	232.225	162.664	1903.559	266.772	1273.453	1899.793	152.942	471.344	2136.418	416.532	448.933	1771.997	269.578	93.791	2028.815	178.295	1544.562	1719.104	216.507	129.039	1904.829	497.372	1011.406	1880.261	260.611	1602.228	2524.908	347.235	468.238	2533.458	401.307	425.949	1961.993	170.095	940.035	2274.610	35.854	930.018	2283.849	32.245	1235.197	1878.100	261.085	1132.632	2570.551	387.653	273.209
