Frame	Time	R_HLE X	R_HLE Y	R_HLE Z	R_HEAD X	R_HEAD Y	R_HEAD Z	RIAS X	RIAS Y	RIAS Z	RIPS X	RIPS Y	RIPS Z	LIPS X	LIPS Y	LIPS Z	L_FM2 X	L_FM2 Y	L_FM2 Z	SJN X	SJN Y	SJN Z	L_FLE X	L_FLE Y	L_FLE Z	R_FLE X	R_FLE Y	R_FLE Z	L_FCC X	L_FCC Y	L_FCC Z	L_HEAD X	L_HEAD Y	L_HEAD Z	L_FAL X	L_FAL Y	L_FAL Z	R_HM2 X	R_HM2 Y	R_HM2 Z	SGL X	SGL Y	SGL Z	R_FCC X	R_FCC Y	R_FCC Z	R_FAL X	R_FAL Y	R_FAL Z	LIAS X	LIAS Y	LIAS Z	L_HM2 X	L_HM2 Y	L_HM2 Z	L_HLE X	L_HLE Y	L_HLE Z	SXS X	SXS Y	SXS Z	R_FM2 X	R_FM2 Y	R_FM2 Z	
1032	2.57750	1852.334	374.209	1161.881	2005.643	310.356	1535.442	2038.137	414.021	919.226	2175.917	380.856	998.037	2188.374	207.451	987.609	1667.273	204.940	166.576	2000.609	269.655	1261.098	1960.393	142.284	472.506	2278.424	399.178	463.650	1825.943	261.037	95.848	2162.409	205.180	1528.432	1777.885	201.691	129.280	1934.339	167.142	1293.592	1995.409	142.120	1536.992	2667.073	336.092	403.321	2667.739	387.837	352.080	2031.119	170.352	930.952	1826.344	206.696	1073.654	1911.453	18.409	1293.140	1968.701	264.428	1122.906	2671.506	350.903	197.524
1033	2.58000	1841.155	375.015	1160.894	1994.061	310.195	1534.708	2026.455	414.546	918.706	2164.549	381.108	997.448	2176.847	207.609	986.387	1654.737	205.848	166.528	1989.322	269.884	1260.494	1949.164	143.436	471.252	2265.237	399.954	462.810	1813.125	262.245	95.947	2150.881	205.120	1527.783	1765.341	202.781	129.354	1922.747	168.534	1293.365	1983.804	141.854	1536.161	2655.523	336.338	409.870	2657.124	388.684	359.249	2019.829	170.939	929.576	1814.239	207.094	1073.885	1899.363	18.873	1292.994	1957.599	264.813	1122.104	2663.030	354.522	204.646
1034	2.58250	1830.145	376.040	1159.917	1982.564	310.039	1533.952	2015.190	415.045	918.437	2153.035	381.366	996.876	2165.415	207.723	985.132	1642.580	207.057	166.186	1977.817	269.945	1259.755	1937.801	144.588	470.220	2252.213	400.779	461.768	1801.111	263.274	95.769	2139.446	205.115	1527.071	1753.225	203.955	129.262	1910.984	170.095	1292.885	1972.444	141.741	1535.334	2643.541	336.698	416.424	2646.249	389.571	366.241	2008.576	171.419	928.335	1801.971	207.567	1073.916	1887.259	19.406	1292.717	1946.496	265.105	1121.275	2654.799	357.392	211.378
1035	2.58500	1819.132	377.251	1158.740	1970.923	309.807	1533.281	2003.694	415.529	917.901	2141.577	381.543	996.148	2154.048	207.878	983.869	1630.966	208.313	165.436	1966.086	270.098	1258.962	1925.944	145.945	469.141	2238.622	401.512	460.632	1789.766	264.333	95.253	2127.917	204.937	1526.375	1741.295	205.362	128.624	1899.184	171.751	1292.429	1960.922	141.597	1534.430	2631.471	336.795	422.849	2634.874	390.533	373.061	1997.323	171.843	927.106	1789.748	208.243	1073.931	1874.986	19.872	1292.346	1935.407	265.488	1120.279	2646.012	360.486	218.186
1036	2.58750	1808.009	378.675	1157.445	1959.397	309.657	1532.462	1992.288	416.041	917.211	2130.187	381.890	995.494	2142.781	208.068	982.614	1619.747	209.857	164.320	1955.276	270.244	1258.170	1914.125	147.100	468.302	2225.343	402.275	459.085	1778.822	265.343	94.514	2116.425	204.905	1525.645	1730.628	206.387	128.204	1887.557	173.526	1291.842	1949.340	141.297	1533.522	2618.811	337.304	429.052	2622.991	391.366	379.827	1986.351	172.292	925.806	1777.259	208.814	1073.909	1862.977	20.367	1292.037	1924.117	266.046	1119.080	2637.407	362.615	225.155
1037	2.59000	1796.919	380.196	1156.218	1947.783	309.457	1531.592	1980.928	416.410	916.307	2118.679	382.180	994.671	2131.502	208.272	981.263	1609.091	211.591	163.058	1943.789	270.394	1257.247	1902.284	148.205	467.700	2211.903	403.027	457.396	1768.397	266.400	93.539	2104.915	204.800	1524.769	1719.590	208.029	126.948	1875.502	175.332	1291.317	1937.969	141.186	1532.586	2606.051	337.835	435.217	2610.852	392.351	386.390	1975.322	172.626	924.531	1764.803	209.481	1073.901	1850.625	20.971	1291.522	1912.865	266.347	1118.027	2628.078	365.369	231.891
1038	2.59250	1785.976	381.979	1154.658	1936.256	309.287	1530.679	1969.355	416.734	915.613	2107.226	382.501	993.754	2120.409	208.521	980.019	1598.946	213.555	161.326	1932.482	270.576	1256.208	1890.440	149.257	467.315	2198.422	403.845	455.501	1758.689	267.564	92.341	2093.345	204.613	1523.895	1709.590	209.511	125.742	1863.466	177.327	1290.460	1926.508	141.032	1531.482	2592.416	338.548	441.069	2598.192	393.359	392.864	1964.140	173.023	923.170	1751.818	210.395	1073.230	1838.368	21.457	1290.800	1901.320	267.087	1117.107	2618.081	368.382	238.467
1039	2.59500	1775.021	383.973	1153.124	1924.725	309.147	1529.755	1957.863	417.081	914.716	2095.728	382.897	992.821	2109.281	208.771	978.685	1589.179	215.620	159.409	1921.189	270.725	1255.234	1878.609	150.316	466.897	2184.844	404.676	453.611	1749.338	269.266	90.656	2081.866	204.569	1523.035	1699.852	211.028	124.123	1851.368	179.294	1289.630	1914.930	140.952	1530.465	2578.963	339.240	446.914	2585.415	394.399	398.972	1953.466	173.287	921.861	1737.420	211.981	1073.178	1826.194	22.077	1290.454	1890.041	267.362	1115.981	2608.258	370.546	245.297
1040	2.59750	1763.996	386.094	1151.225	1913.157	309.001	1528.820	1946.496	417.284	913.668	2084.344	383.325	991.777	2098.271	209.090	977.337	1579.881	217.751	157.073	1909.526	270.850	1254.138	1866.522	151.426	466.584	2171.258	405.578	451.591	1740.512	270.400	89.082	2070.247	204.338	1522.118	1690.676	212.726	122.354	1839.375	181.483	1288.713	1902.680	141.436	1529.447	2564.886	339.888	452.452	2572.139	395.400	405.042	1942.486	173.538	920.602	1725.309	212.607	1073.131	1813.855	22.724	1289.699	1878.941	267.769	1114.597	2598.196	372.616	251.838
1041	2.60000	1752.549	388.269	1149.475	1901.623	308.874	1527.687	1935.130	417.567	912.671	2072.805	383.748	990.700	2087.304	209.458	975.941	1570.912	220.054	154.231	1898.014	270.866	1253.193	1854.423	152.502	466.291	2157.499	406.498	449.481	1732.409	271.649	87.604	2058.762	204.185	1521.102	1682.027	214.300	120.150	1827.187	183.746	1287.731	1890.975	141.350	1528.331	2550.720	340.689	457.980	2558.721	396.458	410.770	1931.543	173.794	919.143	1711.537	214.060	1072.575	1801.465	23.239	1288.989	1867.613	268.247	1113.328	2587.274	375.367	258.056
1042	2.60250	1742.044	390.786	1147.312	1890.205	308.806	1526.637	1923.656	417.842	911.555	2061.460	384.164	989.588	2076.391	209.771	974.577	1562.288	222.495	151.030	1886.622	271.071	1252.064	1842.358	153.578	465.749	2143.809	407.499	447.247	1725.002	272.732	85.780	2047.225	204.062	1520.031	1673.801	215.860	117.967	1814.858	186.135	1286.404	1879.435	141.222	1527.130	2536.094	341.417	463.280	2544.753	397.387	416.383	1920.742	173.926	917.831	1698.780	215.136	1072.282	1788.938	24.021	1288.270	1856.491	268.512	1111.915	2576.263	377.778	264.283
1043	2.60500	1731.176	393.371	1145.101	1878.771	308.727	1525.498	1912.478	417.958	910.275	2049.947	384.616	988.342	2065.547	210.196	973.133	1554.151	225.017	147.443	1875.347	271.217	1250.681	1830.213	154.700	465.484	2129.897	408.510	445.060	1717.695	274.097	83.644	2035.622	203.746	1519.058	1665.619	217.849	115.457	1803.483	188.716	1285.106	1867.891	141.026	1525.878	2521.206	342.188	468.279	2530.679	398.356	421.711	1910.039	174.162	916.370	1686.224	216.014	1072.015	1776.707	24.685	1287.593	1845.250	268.440	1111.041	2565.457	379.085	270.566
1044	2.60750	1720.125	396.053	1143.062	1867.299	308.652	1524.210	1900.827	418.153	909.248	2038.646	385.097	987.116	2054.666	210.710	971.658	1546.485	227.700	143.740	1864.176	271.374	1249.409	1817.754	155.799	464.819	2115.579	409.478	442.842	1711.109	275.179	81.672	2024.058	203.561	1517.933	1658.047	219.638	112.857	1791.192	191.381	1283.570	1856.376	140.940	1524.560	2506.145	343.067	473.143	2516.267	399.367	426.814	1899.357	174.337	914.896	1674.002	216.683	1071.719	1764.427	25.324	1286.760	1834.009	268.829	1109.675	2553.976	381.341	276.319
1045	2.61000	1709.939	399.024	1140.627	1855.856	308.546	1522.892	1889.449	418.009	908.006	2027.257	385.474	985.807	2043.803	211.192	970.141	1539.170	230.413	139.759	1852.600	271.582	1247.792	1805.508	156.810	464.227	2101.678	410.637	440.293	1704.435	276.902	79.505	2012.461	203.257	1516.769	1650.825	221.452	110.087	1778.652	194.259	1282.236	1844.656	140.902	1523.168	2490.791	343.942	477.706	2501.893	400.454	431.540	1888.619	174.488	913.435	1661.682	217.522	1071.321	1752.278	25.976	1285.909	1822.664	269.225	1107.968	2541.934	383.335	281.930
1046	2.61250	1698.642	401.860	1138.381	1844.435	308.483	1521.622	1878.089	418.154	906.760	2015.916	385.912	984.525	2033.046	211.783	968.627	1532.136	233.111	135.549	1840.936	271.612	1246.595	1793.191	157.902	463.446	2087.258	411.728	437.776	1698.518	278.143	77.154	2000.852	203.002	1515.587	1643.971	223.239	107.184	1765.871	196.988	1280.821	1832.982	140.818	1521.731	2475.277	344.614	481.940	2487.094	401.343	436.128	1877.879	174.610	911.982	1649.171	218.520	1070.868	1740.459	26.548	1285.089	1811.381	269.671	1106.445	2530.134	384.912	287.465
1047	2.61500	1688.371	405.024	1135.853	1833.003	308.460	1520.228	1866.700	418.315	905.458	2004.536	386.396	982.999	2022.258	212.457	967.024	1525.684	236.093	131.225	1829.092	271.708	1245.277	1780.693	159.009	462.630	2072.901	412.913	435.169	1692.953	279.334	74.777	1989.353	202.766	1514.315	1637.468	225.080	104.111	1753.239	199.932	1279.105	1821.241	140.825	1520.329	2459.367	345.461	486.031	2471.913	402.397	440.438	1867.229	174.741	910.422	1636.350	219.711	1070.394	1728.304	27.262	1284.179	1800.193	269.554	1105.354	2517.815	386.690	292.574
1048	2.61750	1677.581	408.245	1133.269	1821.654	308.475	1518.780	1855.381	418.419	904.224	1993.280	386.785	981.542	2011.431	213.155	965.439	1519.479	238.901	126.845	1817.774	271.842	1243.752	1768.156	159.772	461.726	2058.170	414.148	432.441	1687.853	280.287	72.369	1977.720	202.396	1513.074	1631.462	226.948	100.910	1740.647	203.076	1276.937	1809.372	140.916	1518.823	2443.340	346.397	489.662	2456.693	403.424	444.443	1856.488	174.792	908.931	1624.383	220.432	1070.158	1716.135	27.927	1283.206	1788.788	269.828	1103.833	2504.858	388.546	297.649
1049	2.62000	1666.943	411.605	1130.769	1810.236	308.453	1517.388	1843.984	418.495	902.862	1981.998	387.194	980.093	2000.674	213.772	963.670	1513.830	241.818	122.364	1806.454	272.015	1242.194	1755.858	161.024	460.828	2043.381	415.252	429.800	1682.979	281.449	69.810	1966.159	202.126	1511.618	1625.600	228.625	97.755	1728.027	206.238	1275.211	1797.786	140.835	1517.438	2427.595	346.272	492.728	2441.065	404.248	448.244	1845.857	175.002	907.492	1612.600	220.963	1069.770	1703.807	28.548	1282.467	1777.472	270.113	1102.043	2491.799	390.056	302.362
1050	2.62250	1656.638	415.057	1127.985	1798.764	308.417	1515.812	1832.559	418.615	901.455	1970.648	387.501	978.483	1989.889	214.533	961.990	1508.224	245.079	117.556	1794.661	272.251	1240.542	1743.734	162.256	459.834	2028.447	416.530	426.993	1678.598	282.343	67.352	1954.492	201.832	1510.091	1620.236	230.304	94.585	1715.041	209.365	1273.112	1785.981	140.898	1515.817	2411.285	346.789	495.918	2425.358	405.333	451.793	1835.261	175.083	905.913	1603.638	220.421	1069.952	1691.645	29.206	1281.517	1765.937	270.507	1100.472	2477.565	392.537	306.446
1051	2.62500	1646.072	418.620	1125.384	1787.378	308.398	1514.205	1821.192	418.686	900.082	1959.411	387.825	976.887	1978.604	215.747	960.542	1503.155	247.991	112.797	1782.688	272.300	1239.226	1731.786	163.541	458.758	2013.444	417.809	424.104	1674.211	283.233	64.813	1942.933	201.422	1508.716	1615.058	231.971	91.376	1702.461	212.905	1271.068	1774.239	140.915	1514.118	2394.813	347.517	498.630	2409.424	406.145	455.129	1824.522	175.104	904.386	1591.355	221.424	1069.350	1679.374	29.720	1280.703	1754.715	270.186	1099.237	2463.610	394.000	310.728
1052	2.62750	1635.507	422.214	1122.670	1776.037	308.411	1512.428	1809.766	418.797	898.566	1948.080	388.013	975.136	1967.716	216.602	958.762	1498.260	250.919	107.950	1771.391	272.631	1237.391	1719.951	164.773	457.611	1998.335	419.192	421.177	1670.258	284.324	62.386	1931.376	201.165	1507.130	1610.182	233.468	88.215	1689.680	216.237	1268.762	1762.678	140.889	1512.526	2378.229	348.090	501.183	2393.329	407.174	458.125	1813.843	175.001	902.930	1579.072	222.366	1068.923	1666.668	30.080	1280.704	1743.027	270.699	1097.269	2449.678	395.176	314.738
1053	2.63000	1624.847	425.954	1120.118	1764.717	308.469	1510.619	1798.431	418.923	897.066	1936.824	388.242	973.456	1956.893	217.438	956.898	1493.655	253.857	102.870	1760.318	272.778	1235.553	1708.382	166.100	456.143	1983.168	420.523	418.238	1666.707	284.839	59.897	1919.678	200.704	1505.413	1605.630	235.069	84.931	1677.045	219.745	1266.540	1750.706	141.100	1510.676	2361.475	348.767	503.784	2376.782	407.911	461.093	1803.076	174.969	901.511	1566.859	223.329	1068.295	1654.392	30.682	1279.990	1731.616	270.740	1095.330	2434.790	397.113	317.972
1054	2.63250	1614.478	429.739	1117.281	1753.455	308.524	1508.943	1787.109	418.998	895.577	1925.668	388.362	971.566	1945.895	218.442	954.937	1489.283	256.709	97.639	1748.228	272.853	1234.004	1697.100	167.268	454.769	1967.592	421.854	415.326	1663.281	285.420	57.626	1908.173	200.455	1503.756	1601.117	236.437	81.604	1664.046	223.254	1264.328	1738.915	141.181	1509.036	2344.506	349.533	505.922	2360.505	408.929	463.530	1792.292	174.737	900.137	1554.601	224.312	1067.681	1642.707	31.239	1279.020	1719.995	270.771	1094.075	2420.167	398.056	321.455
1055	2.63500	1603.995	433.713	1114.776	1742.061	308.572	1507.089	1775.686	419.137	893.949	1914.292	388.531	969.786	1935.133	218.980	952.891	1485.049	259.690	92.214	1738.199	272.791	1231.422	1685.984	168.600	453.136	1952.276	423.250	412.314	1659.967	286.071	55.411	1896.439	200.023	1501.930	1596.928	237.906	78.348	1651.187	226.946	1261.673	1727.177	141.234	1507.335	2327.566	350.215	508.039	2343.620	409.628	466.014	1781.434	174.661	898.677	1542.392	225.396	1067.071	1630.526	31.784	1278.133	1708.556	271.052	1091.921	2405.404	398.985	324.393
1056	2.63750	1593.576	437.600	1112.231	1730.884	308.666	1505.121	1764.350	419.323	892.102	1903.014	388.629	967.887	1924.221	219.844	951.001	1481.007	262.459	86.825	1727.082	272.919	1229.388	1674.903	169.910	451.609	1936.791	424.696	409.354	1656.757	286.560	53.014	1884.926	199.740	1500.080	1592.805	239.148	75.148	1638.377	230.702	1259.174	1715.458	141.306	1505.359	2310.415	351.034	509.794	2326.971	410.533	467.899	1770.674	174.406	897.210	1530.255	226.323	1066.471	1618.261	32.335	1277.173	1696.878	271.189	1089.967	2389.705	400.320	327.157
1057	2.64000	1583.268	441.832	1109.656	1719.688	308.787	1503.132	1752.992	419.469	890.244	1891.616	388.713	965.887	1913.310	220.605	949.031	1476.940	265.341	81.095	1715.162	273.010	1227.687	1663.991	171.243	450.142	1921.203	426.169	406.302	1653.624	287.095	50.785	1873.295	199.305	1498.135	1589.202	240.298	72.199	1625.596	234.532	1256.494	1703.839	141.401	1503.541	2293.127	351.740	511.345	2310.051	411.495	469.617	1759.750	174.251	895.707	1518.128	227.382	1065.953	1605.886	32.821	1276.242	1685.420	271.120	1088.270	2373.835	401.631	329.423
1058	2.64250	1573.150	446.084	1107.043	1708.218	308.802	1501.131	1741.713	419.649	888.293	1880.421	388.813	963.886	1902.299	221.448	947.084	1473.182	268.003	75.472	1703.928	273.163	1225.347	1653.186	172.567	448.795	1905.505	427.636	403.339	1650.528	287.454	49.044	1861.737	198.976	1496.076	1585.341	241.166	69.097	1612.895	238.349	1253.932	1691.884	141.682	1501.661	2275.796	352.498	512.608	2292.615	412.008	471.427	1748.879	173.933	894.172	1505.997	228.413	1065.359	1593.534	33.345	1275.430	1673.588	271.316	1085.959	2358.191	402.045	331.700
1059	2.64500	1562.935	450.402	1104.602	1696.961	308.895	1499.052	1730.189	419.668	886.421	1869.044	388.839	961.767	1891.289	222.288	945.032	1469.570	270.687	69.965	1694.308	272.371	1222.878	1642.468	173.884	447.665	1889.691	429.167	400.246	1647.714	287.623	48.470	1850.192	198.595	1494.054	1582.387	241.397	66.001	1599.648	242.497	1251.146	1680.127	141.732	1499.957	2258.370	353.255	513.732	2275.205	412.820	472.844	1737.885	173.549	892.497	1493.923	229.481	1064.765	1581.132	33.825	1274.626	1661.988	271.136	1084.173	2341.792	403.238	333.361
1060	2.64750	1553.051	454.923	1102.292	1685.992	309.117	1496.750	1718.881	419.878	884.304	1857.755	388.970	959.638	1880.292	223.153	942.960	1466.161	273.420	63.279	1684.028	272.056	1221.105	1631.999	175.224	446.268	1873.837	430.742	397.337	1644.973	287.961	50.322	1838.561	198.214	1491.878	1578.065	243.457	62.987	1586.675	246.234	1247.940	1668.355	141.948	1497.873	2240.879	353.986	514.720	2257.840	413.706	473.787	1726.914	173.173	890.886	1481.924	230.420	1064.334	1568.776	34.247	1273.826	1650.328	271.456	1081.745	2325.274	403.921	334.922
1061	2.65000	1543.460	459.693	1099.754	1674.932	309.284	1494.596	1707.512	420.095	882.160	1846.618	389.101	957.532	1869.344	223.785	941.053	1462.576	276.443	55.921	1672.028	272.308	1218.606	1621.365	176.844	444.854	1857.640	432.232	394.415	1641.442	289.399	52.967	1827.051	197.861	1489.699	1574.263	245.443	60.328	1574.034	250.413	1245.260	1656.773	142.186	1495.931	2223.233	354.832	515.414	2240.869	414.795	474.331	1715.925	172.946	889.311	1469.876	231.361	1063.794	1556.307	34.729	1273.172	1638.761	271.374	1079.657	2308.394	404.731	336.140
1062	2.65250	1533.380	464.279	1097.622	1663.574	309.314	1492.552	1696.199	420.366	879.935	1835.430	389.214	955.429	1858.356	224.421	939.093	1458.043	280.508	50.584	1658.601	273.216	1216.390	1611.251	178.812	442.788	1841.484	433.647	391.422	1637.793	290.906	55.420	1815.423	197.421	1487.409	1569.151	248.675	58.007	1560.987	254.654	1242.210	1645.042	142.270	1494.043	2205.257	355.939	515.905	2222.983	415.452	474.754	1704.963	172.737	887.484	1457.897	232.256	1063.242	1543.784	35.188	1272.578	1626.811	271.579	1076.972	2291.511	405.313	337.075
1063	2.65500	1523.691	468.993	1095.479	1652.440	309.526	1490.085	1684.916	420.508	877.824	1824.211	389.342	953.270	1847.335	224.924	937.242	1453.320	282.460	49.127	1648.121	273.176	1213.822	1601.171	180.837	440.356	1825.491	435.223	388.611	1635.806	292.427	56.210	1803.850	197.076	1485.177	1564.300	251.188	56.970	1548.423	258.856	1239.407	1632.872	142.593	1492.258	2187.413	356.798	516.042	2205.115	416.348	475.109	1694.152	172.584	885.868	1445.851	233.313	1062.914	1531.186	35.679	1272.087	1615.125	271.484	1074.658	2274.103	405.978	337.682
1064	2.65750	1514.277	473.930	1093.201	1641.281	309.649	1487.903	1673.695	420.763	875.398	1813.012	389.511	951.091	1836.416	225.343	935.359	1450.621	283.756	48.395	1637.074	273.017	1211.604	1591.222	182.652	437.460	1808.714	436.563	385.788	1635.979	293.283	56.269	1792.133	196.578	1482.852	1560.922	253.400	57.438	1535.697	263.058	1236.630	1621.314	142.678	1490.512	2169.504	357.622	516.139	2187.736	417.542	474.748	1683.548	172.728	883.872	1433.876	234.202	1062.382	1518.498	36.135	1271.553	1603.476	271.766	1072.010	2256.506	406.707	337.790
